"gu","year","area","price"
"동대문구",2003,84.87,693
"동대문구",2003,84.87,695
"동대문구",2003,59.86,600
"동대문구",2003,84.87,672
"동대문구",2003,112.78,780
"동대문구",2003,84.97,665
"동대문구",2003,112.78,755
"동대문구",2003,84.77,658
"동대문구",2003,84.77,710
"동대문구",2003,59.96,522
"동대문구",2003,59.96,559
"동대문구",2003,83.03,430
"동대문구",2003,59.96,570
"동대문구",2003,58.42,490
"동대문구",2003,59.94,505
"동대문구",2003,84.98,600
"동대문구",2003,82.82,610
"동대문구",2003,59.54,530
"동대문구",2003,114.94,727
"동대문구",2003,84.87,645
"동대문구",2004,59.84,500
"동대문구",2004,70.42,405
"동대문구",2004,99.95,420
"동대문구",2004,84.61,695
"동대문구",2004,84.99,392
"동대문구",2004,84.61,730
"동대문구",2004,114.89,745
"동대문구",2004,114.89,770
"동대문구",2004,39.9,250
"동대문구",2005,84.4,413
"동대문구",2005,84.98,585
"동대문구",2005,84.89,400
"동대문구",2005,84.99,515
"동대문구",2005,84.9,593
"동대문구",2007,59.91,600
"동대문구",2007,81.05,637
"동대문구",2007,64.85,635
"동대문구",2007,59.89,600
"동대문구",2007,112.92,835
"동대문구",2007,84.99,630
"동대문구",2007,81.05,679
"동대문구",2007,59.91,600
"동대문구",2007,81.05,695
"동대문구",2007,112.92,860
"동대문구",2007,81.05,677
"동대문구",2008,67.84,360
"동대문구",2008,66.13,330
"동대문구",2009,37.73,429
"동대문구",2009,26.08,264
"동대문구",2009,59.99,690
"동대문구",2009,84.99,720
"동대문구",2009,115.57,840
"동대문구",2009,84.99,690
"동대문구",2009,59.99,654
"동대문구",2009,83.43,425
"동대문구",2010,84.37,436
"동대문구",2010,59.74,768
"동대문구",2010,73.96,830
"동대문구",2011,114.82,828
"동대문구",2011,84.97,845
"동대문구",2011,59.98,760
"동대문구",2011,84.89,713
"동대문구",2011,114.99,815
"동대문구",2011,107.97,600
"동대문구",2012,19.53,144
"동대문구",2013,84.74,695
"동대문구",2013,12.95,119
"동대문구",2013,49.65,307
"동대문구",2013,24.32,258
"동대문구",2013,13.08,100
"동대문구",2013,13.08,98
"동대문구",2014,59.99,937
"동대문구",2014,84.96,970
"동대문구",2014,121.94,1080
"동대문구",2014,140.62,1290
"동대문구",2014,84.97,1045
"동대문구",2014,84.98,975
"동대문구",2014,121.94,1200
"동대문구",2014,84.96,1050
"동대문구",2014,59.97,862
"동대문구",2014,59.97,850
"동대문구",2014,84.99,958
"동대문구",2014,59.96,850
"동대문구",2014,15.61,170
"동대문구",2014,84.96,1075
"동대문구",2014,14.19,114
"동대문구",2014,84.98,1050
"동대문구",2015,18.92,155
"동대문구",2015,114.96,1050
"동대문구",2015,30.42,314
"동대문구",2015,30.42,330
"동대문구",2015,18.35,128
"동대문구",2016,14.82,137
"동대문구",2016,30.11,360
"동대문구",2016,30.11,390
"동대문구",2016,30.11,380
"동대문구",2016,30.11,365
"동대문구",2016,16.64,160
"동대문구",2016,14.82,138
"동대문구",2018,20.55,250
"동대문구",2018,57.98,359
